ID,Schadensklasse,Mittelwert_x,Mittelwert_y,Mittelwert_z,Variance_x,Variance_y,Variance_z,Effektivwert_x,Effektivwert_y,Effektivwert_z,Standardabweichung_x,Standardabweichung_y,Standardabweichung_z,Woehlbung_x,Woehlbung_y,Woehlbung_z,Schiefe_x,Schiefe_y,Schiefe_z,Mittlere_Absolute_Abweichung_x,Mittlere_Absolute_Abweichung_y,Mittlere_Absolute_Abweichung_z,Zentrales_Moment_x,Zentrales_Moment_y,Zentrales_Moment_z,Median_x,Median_y,Median_z,Timestamp
70,1,616.704,-472.32,15674.6,16610000.0,151330000.0,30299100,4119.92,12304.6,16612.1,4073.5,12295.5,5501.7,0.2867,-1.25516,1.86204,0.0613886,0.0115208,-0.388469,3251.27,10775.4,4153.3,0,0,0,512,-128,15360,1604490000
71,1,587.52,-208.128,15753.5,9689360.0,149321000.0,30115500,3166.2,12215.4,16681.0,3111.22,12213.6,5485.02,-0.209828,-1.23018,-0.0154336,-0.0298587,-0.0239028,-0.146112,2498.13,10690.1,4385.75,0,0,0,512,256,15872,1604490000
72,1,554.24,-337.152,15809.8,15601000.0,149796000.0,26636700,3986.55,12237.6,16630.1,3947.83,12233.0,5158.5,-0.278068,-1.28407,-0.223184,0.0196998,-0.00460589,0.00837357,3214.41,10774.1,4160.64,0,0,0,512,0,15616,1604490000
73,1,624.896,-448.768,15773.4,24685800.0,151517000.0,29451800,5005.16,12311.2,16680.0,4965.99,12303.1,5424.23,-0.613767,-1.27768,-0.252053,0.0255773,0.00851052,0.103045,4101.13,10828.9,4393.49,0,0,0,512,-1024,15616,1604490000
74,1,717.056,-321.28,15628.5,27992600.0,167339000.0,38815900,5336.55,12933.5,16823.4,5288.15,12929.5,6227.12,-0.628685,-1.31163,1.64308,0.0721434,-0.0244153,-0.548304,4350.41,11434.8,4707.68,0,0,0,768,-384,15616,1604490000
75,1,506.112,-297.984,15727.6,15210400.0,122962000.0,32756200,3930.82,11087.3,16735.6,3898.1,11083.3,5720.44,-0.242888,-0.952149,0.162777,-0.103642,-0.0136753,-0.0704042,3178.14,9368.4,4477.98,0,0,0,768,-256,15616,1604490000
76,1,937.728,-242.688,15634.9,28691500.0,122844000.0,33961500,5435.27,11080.6,16684.7,5353.76,11077.9,5824.73,-0.0522693,-0.930167,0.56534,-0.0368511,-0.0259574,-0.281897,4287.42,9361.76,4582.44,0,0,0,1024,0,15616,1604490000
77,1,665.088,-632.064,15782.1,25086700.0,127695000.0,25983100,5050.15,11312.2,16584.1,5006.16,11294.6,5094.81,-0.370024,-1.03278,0.0643218,-0.0220407,0.0411228,-0.0928984,4103.47,9637.73,4022.56,0,0,0,512,-768,15872,1604490000
78,1,582.912,-384.768,15600.9,12722100.0,131878000.0,33421900,3612.37,11484.5,16636.6,3565.03,11478.1,5778.27,0.15875,-1.03213,0.376608,0.1797,-0.0126704,-0.271092,2860.63,9769.72,4522.3,0,0,0,512,-512,15616,1604490000
79,1,598.016,-113.152,15841.3,10757700.0,131824000.0,26388500,3332.35,11476.3,16652.6,3278.25,11475.7,5134.4,-0.251233,-1.10958,-0.145617,-0.0565811,-0.0189246,0.0481561,2660.16,9910.5,4101.43,0,0,0,768,0,15872,1604490000
80,1,579.84,-413.44,15767.0,15305300.0,127382000.0,26552000,3953.0,11288.3,16586.9,3910.24,11280.7,5150.28,-0.26569,-1.04267,0.603116,-0.0128433,-0.0374922,-0.187157,3156.56,9615.34,4009.68,0,0,0,512,-256,15872,1604490000
81,1,466.432,-976.384,15770.9,28798100.0,119819000.0,25691600,5383.94,10984.2,16564.6,5363.7,10940.7,5066.16,-0.0791718,-0.897489,-0.0179842,-0.247351,-0.0201998,-0.18898,4372.4,9201.63,4069.47,0,0,0,640,-1024,16128,1604490000
82,0,593.408,-578.816,15896.1,19232200.0,102949000.0,19750900,4423.25,10157.8,16505.0,4383.26,10141.3,4441.97,-0.359616,-0.850712,0.015248,-0.0241534,0.0317636,0.257937,3581.77,8510.9,3519.81,0,0,0,512,-256,15616,1604490000
83,1,441.6,-272.64,15669.0,25611500.0,133537000.0,35352700,5077.49,11553.3,16758.1,5058.25,11550.1,5942.84,-0.640183,-1.02845,0.0699178,0.00186045,-0.00412673,-0.0410169,4171.48,9885.61,4735.69,0,0,0,512,-128,15360,1604490000
84,1,575.488,-143.872,15546.1,15293100.0,129688000.0,29894900,3950.82,11383.3,16478.7,3908.68,11382.4,5464.89,-0.18091,-0.984581,-0.217827,0.243777,-0.0778041,-0.0631734,3104.74,9597.83,4357.01,0,0,0,512,-256,15616,1604490000
85,1,724.224,-409.088,15841.5,34618600.0,122819000.0,30244500,5925.24,11084.4,16768.1,5880.81,11076.8,5496.75,-0.678167,-0.990129,0.0461517,-0.14365,0.0212774,-0.105165,4919.09,9398.17,4335.66,0,0,0,1152,-256,15872,1604490000
86,1,802.048,-427.52,15920.4,25622600.0,117853000.0,32419300,5122.53,10859.0,16907.0,5059.35,10850.6,5690.95,0.144399,-0.911053,0.961376,-0.162274,0.0300828,-0.274065,4016.21,9164.1,4383.07,0,0,0,768,-512,15872,1604490000
87,1,612.608,-130.304,15633.2,42089500.0,135111000.0,29103700,6513.27,11618.7,16536.9,6484.4,11617.9,5392.08,-0.460139,-1.08805,-0.178375,0.0115676,-0.0296554,0.0466703,5292.73,9989.18,4320.11,0,0,0,768,512,15616,1604490000
88,1,597.76,-100.352,15535.4,23424300.0,166851000.0,38018500,4874.24,12911.0,16713.1,4837.44,12910.6,6162.83,-0.335391,-1.31016,1.32453,-0.0725596,-0.0242573,-0.573138,3950.16,11318.0,4812.4,0,0,0,768,0,15872,1604490000
89,1,669.44,-390.144,15719.2,15370200.0,148840000.0,26329800,3975.3,12200.1,16534.7,3918.53,12193.9,5128.69,-0.357179,-1.27452,-0.327565,0.0112335,0.00541616,0.122961,3193.09,10704.6,4156.39,0,0,0,512,-512,15360,1604490000
90,0,534.784,-448.256,15808.8,14355900.0,128745000.0,20731300,3824.6,11349.8,16450.8,3787.03,11340.9,4550.89,-0.128913,-1.14584,0.466115,-0.14434,0.0407099,0.0765175,3037.91,9795.2,3531.79,0,0,0,768,-768,15616,1604490000
91,1,548.352,-482.816,15790.3,11529600.0,136242000.0,29622100,3437.84,11676.4,16701.1,3393.83,11666.4,5439.9,0.737432,-1.1392,0.74503,-0.0857193,0.00726049,-0.294326,2639.35,10049.7,4240.08,0,0,0,512,-512,15872,1604490000
92,1,518.912,-386.048,15619.6,11635000.0,138091000.0,29073600,3448.57,11751.7,16523.2,3409.3,11745.4,5389.29,0.686913,-1.16113,2.08036,-0.107929,0.0328607,-0.604132,2707.59,10215.9,4037.04,0,0,0,512,-512,15872,1604490000
93,0,641.28,-249.6,15888.4,6900500.0,115236000.0,20052000,2702.75,10732.4,16506.7,2625.57,10729.4,4475.71,-0.0966944,-0.975599,0.143273,0.0104544,-0.00416149,-0.0439734,2102.56,9103.14,3557.74,0,0,0,512,-256,15872,1604490000
94,0,651.776,-489.984,15810.0,5967640.0,113109000.0,22748000,2527.15,10641.2,16513.1,2441.65,10630.0,4767.1,0.138749,-0.908838,-0.0231914,0.00973443,0.0154769,0.00513375,1951.09,8937.9,3795.36,0,0,0,512,-256,15616,1604490000
95,0,610.816,-630.272,15762.2,7860710.0,123022000.0,22016600,2868.09,11103.9,16445.1,2802.29,11086.0,4689.84,-0.356648,-1.03344,0.256153,-0.107234,0.0320048,-0.0725019,2267.37,9453.49,3719.13,0,0,0,768,-1024,15616,1604490000
96,0,675.84,-220.16,15631.9,7102840.0,111876000.0,24588100,2748.18,10574.1,16398.8,2663.78,10571.8,4956.16,0.189407,-0.789244,-0.0125928,-0.0234446,-0.0279493,-0.167803,2075.07,8776.86,3949.15,0,0,0,768,0,15616,1604490000
